日期,历史价格,回归价格
2021-07-07,17.54,17.470814
2021-07-08,17.11,17.909119
2021-07-09,17.07,17.845728
2021-07-12,17.09,17.685843
2021-07-13,16.77,17.571547
2021-07-14,16.61,17.270105
2021-07-15,16.38,16.97048
2021-07-16,17.54,16.552969
2021-07-19,17.23,17.049362
2021-07-20,16.54,17.075134
2021-07-21,18.22,16.626534
2021-07-22,18.44,17.442375
2021-07-23,17.66,18.171314
2021-07-26,17.14,18.179102
2021-07-27,16.4,17.839628
2021-07-28,16.17,17.092451
2021-07-29,16.44,16.454113
2021-07-30,16.64,16.23624
2021-08-02,17.72,16.259148
2021-08-03,18.01,17.008497
2021-08-04,17.85,17.704962
2021-08-05,17.58,18.084793
2021-08-06,17.32,18.090193
2021-08-09,17.28,17.896694
2021-08-10,17.67,17.775993
2021-08-11,17.56,17.800592
2021-08-12,17.64,17.628653
2021-08-13,17.17,17.568167
2021-08-16,18.11,17.28695
2021-08-17,17.29,17.853863
2021-08-18,16.7,17.825598
2021-08-19,16.75,17.457565
2021-08-20,16.81,17.24535
2021-08-23,18.51,17.01963
2021-08-24,19.81,17.880604
2021-08-25,20.01,19.163252
2021-08-26,19.5,20.073643
2021-08-27,18.49,20.336945
2021-08-30,19.27,19.86895
2021-08-31,18.61,19.92598
2021-09-01,17.92,19.526302
2021-09-02,18.36,18.827148
2021-09-03,18.04,18.63898
2021-09-06,18.79,18.304152
2021-09-07,19.38,18.572935
2021-09-08,19.14,19.164185
2021-09-09,19.04,19.458294
2021-09-10,19.32,19.617516
2021-09-13,18.34,19.79417
2021-09-14,17.96,19.186705
2021-09-15,18.08,18.442642
2021-09-16,17.88,17.994925
2021-09-17,17.58,17.660198
2021-09-22,18.11,17.247862
2021-09-23,17.94,17.38023
2021-09-24,17.6,17.501997
2021-09-27,16.68,17.4154
2021-09-28,16.77,16.851181
2021-09-29,16.57,16.480844
2021-09-30,16.47,16.00231
2021-10-08,16.1,15.582808
2021-10-11,15.98,15.0668
2021-10-12,15.57,14.623687
2021-10-13,15.53,14.13433
2021-10-14,15.71,13.87486
2021-10-15,15.85,13.894365
2021-10-18,15.94,14.096416
2021-10-19,16.0,14.390268
2021-10-20,16.35,14.551913
2021-10-21,15.98,14.898508
2021-10-22,17.14,14.90572
2021-10-25,16.87,15.902424
2021-10-26,17.09,16.467218
2021-10-27,17.18,17.052788
2021-10-28,16.24,17.52986
2021-10-29,16.63,17.230919
2021-11-01,16.79,17.275955
2021-11-02,16.34,17.456614
2021-11-03,16.27,17.279419
2021-11-04,16.63,17.081337
2021-11-05,16.57,17.15338
2021-11-08,16.25,17.127205
2021-11-09,16.84,16.85915
2021-11-10,16.8,17.009773
2021-11-11,16.86,17.095137
2021-11-12,16.9,17.0566
2021-11-15,17.36,17.000065
2021-11-16,18.66,17.213533
2021-11-17,20.55,18.155006
2021-11-18,20.45,19.98694
2021-11-19,20.36,21.107542
2021-11-22,19.65,21.730467
2021-11-23,21.0,21.683365
2021-11-24,23.12,22.329714
2021-11-25,21.7,23.734037
2021-11-26,22.34,23.718143
2021-11-29,23.87,23.882978
2021-11-30,26.28,24.595514
2021-12-01,26.79,26.031336
2021-12-02,26.34,26.995867
2021-12-03,25.29,27.269085
2021-12-06,25.05,26.853216
2021-12-07,24.57,26.37069
2021-12-08,24.65,25.727846
2021-12-09,23.94,25.30309
2021-12-10,23.81,24.705946
2021-12-13,23.65,24.34046
2021-12-14,23.43,24.073017
2021-12-15,23.44,23.755194
2021-12-16,23.15,23.662867
2021-12-17,22.33,23.51597
2021-12-20,21.75,22.949078
2021-12-21,22.16,21.939615
2021-12-22,22.71,21.233103
2021-12-23,22.44,20.97052
2021-12-24,22.97,20.690458
2021-12-27,22.06,20.879839
2021-12-28,22.19,20.680223
2021-12-29,22.8,20.699802
2021-12-30,24.22,21.176796
2021-12-31,23.5,22.364195
2022-01-04,21.79,22.867035
2022-01-05,20.98,22.39794
2022-01-06,22.02,21.685823
2022-01-07,21.15,21.786243
2022-01-10,20.71,21.471992
2022-01-11,21.06,21.106735
2022-01-12,21.99,21.077024
2022-01-13,21.49,21.534395
2022-01-14,22.61,21.575998
2022-01-17,22.47,22.135048
2022-01-18,22.76,22.427572
2022-01-19,22.02,22.74611
2022-01-20,21.38,22.526325
2022-01-21,20.53,21.92296
2022-01-24,20.97,21.051918
2022-01-25,20.4,20.79047
2022-01-26,20.29,20.442818
2022-01-27,19.7,20.171026
2022-01-28,20.25,19.76089
2022-02-07,19.77,19.901564
2022-02-08,19.45,19.781809
2022-02-09,20.13,19.479942
2022-02-10,19.11,19.690308
2022-02-11,18.38,19.189821
2022-02-14,18.31,18.434645
2022-02-15,18.75,17.871098
2022-02-16,18.78,17.807707
2022-02-17,18.97,17.861444
2022-02-18,19.1,18.128714
2022-02-21,18.98,18.408737
2022-02-22,18.85,18.578142
2022-02-23,19.47,18.641813
2022-02-24,19.04,19.127851
2022-02-25,19.47,19.158148
2022-02-28,19.4,19.445387
2022-03-01,19.2,19.616692
2022-03-02,18.68,19.509283
2022-03-03,18.38,19.149818
2022-03-04,18.05,18.824213
2022-03-07,17.6,18.462229
2022-03-08,17.2,17.896397
2022-03-09,17.26,17.243639
2022-03-10,17.37,16.802023
2022-03-11,17.48,16.554567
2022-03-14,16.79,16.48355
2022-03-15,16.02,16.06463
2022-03-16,16.55,15.263896
2022-03-17,16.76,15.137766
2022-03-18,16.74,15.1962805
2022-03-21,16.83,15.24107
2022-03-22,16.69,15.359009
2022-03-23,16.9,15.409435
2022-03-24,16.65,15.649358
2022-03-25,16.18,15.725257
2022-03-28,15.85,15.558605
2022-03-29,15.79,15.321449
2022-03-30,16.31,15.170538
2022-03-31,15.99,15.470423
2022-04-01,15.7,15.468104
2022-04-06,15.01,15.329426
2022-04-07,14.6,14.879294
2022-04-08,14.61,14.281108
2022-04-11,13.8,13.84895
2022-04-12,14.22,13.032022
2022-04-13,14.0,12.853368
2022-04-14,13.79,12.664652
2022-04-15,13.94,12.436891
2022-04-18,14.62,12.459042
2022-04-19,14.24,13.10289
2022-04-20,14.72,13.37149
2022-04-21,13.65,13.973753
2022-04-22,13.82,13.622997
2022-04-25,12.67,13.528577
2022-04-26,12.02,12.710549
2022-04-27,12.56,11.810511
2022-04-28,12.77,11.801896
2022-04-29,12.67,12.094486
2022-05-05,13.02,12.345292
2022-05-06,13.06,12.833198
2022-05-09,12.78,13.219657
2022-05-10,13.04,13.280474
2022-05-11,13.27,13.504017
2022-05-12,13.32,13.719445
2022-05-13,13.54,13.833361
2022-05-16,13.52,13.94689
2022-05-17,13.46,14.007304
2022-05-18,13.77,13.958937
2022-05-19,13.91,14.321854
2022-05-20,14.18,14.939318
2022-05-23,14.09,15.671991
2022-05-24,13.42,16.094751
2022-05-25,13.52,15.746995
2022-05-26,13.62,15.44203
2022-05-27,13.49,15.212388
2022-05-30,13.82,14.941697
2022-05-31,14.11,14.986463
2022-06-01,14.29,15.199098
2022-06-02,14.54,15.446375
2022-06-06,15.52,15.747543
2022-06-07,15.55,16.61795
2022-06-08,15.12,17.159872
2022-06-09,14.43,17.086403
2022-06-10,14.54,16.393461
2022-06-13,14.69,15.879503
2022-06-14,14.41,15.588227
2022-06-15,14.34,15.26034
2022-06-16,14.47,15.037522
2022-06-17,15.48,15.0269985
2022-06-20,16.29,15.803919
2022-06-21,17.94,16.857761
2022-06-22,18.59,18.541054
2022-06-23,20.47,19.866898
2022-06-24,20.99,21.620804
2022-06-27,23.11,22.754583
2022-06-28,23.89,24.325329
2022-06-29,21.48,25.442787
2022-06-30,21.02,24.728754
2022-07-01,21.32,23.81522
2022-07-04,22.84,23.22686
2022-07-05,21.39,23.51268
2022-07-06,20.74,22.894396
2022-07-07,21.23,22.124405
2022-07-08,20.17,21.856354
2022-07-11,19.35,21.159758
2022-07-12,18.85,20.285704
2022-07-13,19.05,19.49472
2022-07-14,20.01,19.097178
2022-07-15,20.18,19.382189
2022-07-18,20.64,19.574596
2022-07-19,22.33,19.853357
2022-07-20,21.91,20.998232
2022-07-21,21.59,21.568623
2022-07-22,21.52,21.772802
2022-07-25,22.91,21.753279
2022-07-26,25.21,22.471037
2022-07-27,27.74,24.08621
2022-07-28,30.53,26.215956
2022-07-29,33.59,28.71783
2022-08-01,36.96,31.439138
2022-08-02,40.67,34.1495
2022-08-03,39.79,36.891026
2022-08-04,40.27,38.120018
2022-08-05,38.5,38.910625
2022-08-08,42.36,38.696556
2022-08-09,43.29,39.70685
2022-08-10,47.63,40.56951
2022-08-11,44.88,42.42868
2022-08-12,41.39,42.806053
2022-08-15,42.62,42.03215
2022-08-16,46.89,41.93169
2022-08-17,46.89,43.188255
2022-08-18,51.59,44.00063
2022-08-19,51.88,45.921246
2022-08-22,51.29,47.259266
2022-08-23,52.39,48.00948
2022-08-24,47.14,48.913094
2022-08-25,48.52,48.114124
2022-08-26,43.66,48.098934
2022-08-29,44.47,46.64702
2022-08-30,43.64,45.923477
2022-08-31,39.73,45.04815
2022-09-01,41.49,43.297
2022-09-02,43.81,42.80414
2022-09-05,41.49,43.246246
2022-09-06,44.71,42.738186
2022-09-07,47.79,43.428833
2022-09-08,44.39,44.673687
2022-09-09,43.54,44.43374
2022-09-13,43.89,44.01844
2022-09-14,42.35,43.8304
2022-09-15,39.34,43.32575
2022-09-16,38.37,42.10474
2022-09-19,37.87,41.1203
2022-09-20,38.91,40.360416
2022-09-21,39.67,40.262566
2022-09-22,41.22,40.546425
2022-09-23,37.79,41.240314
2022-09-26,38.18,40.513695
2022-09-27,35.67,40.190876
2022-09-28,33.28,39.016827
2022-09-29,33.82,37.249798
2022-09-30,32.27,36.240395
2022-10-10,30.05,35.034798
2022-10-11,30.54,33.495937
2022-10-12,31.47,32.758804
2022-10-13,29.39,32.7769
2022-10-14,30.42,32.150246
2022-10-17,31.1,32.277115
2022-10-18,29.9,32.647354
2022-10-19,29.33,32.413223
2022-10-20,29.15,31.943548
2022-10-21,29.1,31.549572
2022-10-24,29.3,31.212925
2022-10-25,30.17,31.076998
2022-10-26,30.29,31.412886
2022-10-27,27.26,31.652824
2022-10-28,27.35,30.64976
2022-10-31,27.61,30.107012
2022-11-01,28.84,29.841522
2022-11-02,31.74,30.114647
2022-11-03,31.88,31.563402
2022-11-04,33.44,32.477345
2022-11-07,33.58,33.58093
2022-11-08,33.2,34.323162
2022-11-09,32.72,34.65149
2022-11-10,31.57,34.638718
2022-11-11,30.92,34.098785
2022-11-14,30.17,33.399925
2022-11-15,31.21,32.51906
2022-11-16,31.02,32.272057
2022-11-17,30.65,32.167923
2022-11-18,30.98,32.03767
2022-11-21,32.5,32.144
2022-11-22,31.23,32.80629
2022-11-23,30.85,32.551003
2022-11-24,30.69,32.09961
2022-11-25,29.59,31.516562
2022-11-28,29.95,30.55394
2022-11-29,29.07,30.004734
2022-11-30,29.1,29.289146
2022-12-01,30.62,28.898663
2022-12-02,29.51,29.412241
2022-12-05,29.07,29.428892
2022-12-06,28.81,29.265469
2022-12-07,28.43,29.059832
2022-12-08,28.32,28.785412
2022-12-09,28.44,28.538475
2022-12-12,30.67,28.255808
2022-12-13,29.22,29.07388
2022-12-14,32.15,29.038824
2022-12-15,35.19,30.296293
2022-12-16,34.46,32.373447
2022-12-19,34.99,33.443787
2022-12-20,35.13,34.38246
2022-12-21,33.99,35.04941
2022-12-22,32.42,34.98375
2022-12-23,32.23,34.330994
2022-12-26,33.42,33.822372
2022-12-27,34.57,33.950447
2022-12-28,33.65,34.477936
2022-12-29,33.07,34.488617
2022-12-30,33.22,34.2915
2023-01-03,34.17,34.16649
2023-01-04,35.84,34.49294
2023-01-05,39.44,35.260365
2023-01-06,38.25,36.919136
2023-01-09,39.79,37.509007
2023-01-10,39.37,38.36958
